"recipe_category","recipe_page_no","recipe_path","recipe_name","recipe_name2","recipe_time","recipe_servings","recipe_calorie","recipe_ingr1","recipe_ingr2","recipe_ingr3","recipe_ingr4","recipe_ingr5","recipe_ingr6","recipe_ingr7"
"indian",1,81356," peanut rice ","peanut rice","30 m",4,302,"1 cup uncooked basmati rice","2 1/4 cups water","1/2 teaspoon salt","1/4 teaspoon ground turmeric","1/2 cup frozen petite peas, thawed","1/2 cup dry roasted peanuts",NA
"indian",1,256599," tomato cucumber kachumbar ","tomato cucumber kachumbar","25 m",4,20,"1 cup halved grape tomatoes","1 cup diced cucumber","1/2 cup chopped green onions","1/2 cup chopped fresh cilantro","1 tablespoon fresh lemon juice","1 tablespoon chopped fresh mint","salt and ground black pepper to taste"
