"recipe_category","recipe_page_no","recipe_path","recipe_name","recipe_name2","recipe_time","recipe_servings","recipe_calorie","recipe_ingr1","recipe_ingr2","recipe_ingr3","recipe_ingr4","recipe_ingr5","recipe_ingr6","recipe_ingr7","recipe_ingr8","recipe_ingr9"
"japanese",1,31400," chi chi dango mochi ","chi chi dango mochi","1 h 10 m",36,141,"1 pound mochiko (glutinous rice flour)","2 1/2 cups white sugar","1 teaspoon baking powder","2 cups water","1 teaspoon vanilla extract","1 (14 ounce) can coconut milk","1/4 teaspoon red food color","1 1/2 cups potato starch",NA
"japanese",1,14024," soba with toasted sesame seed sauce ","soba with toasted sesame seed sauce",NA,4,355,"1/2 cup sesame seeds","8 ounces dried soba noodles","2 tablespoons balsamic vinegar","1 tablespoon white sugar","2 1/2 tablespoons soy sauce","1 clove garlic, minced","1 teaspoon dark sesame oil","5 green onions, chopped","3 cups broccoli florets"
